Date,close
1930,1
1931,6
1932,2
1935,1
1936,3
1937,3
1938,1
1939,2
1940,12
1941,3
1942,4
1943,1
1944,3
1945,2
1946,13
1947,2
1948,9
1949,1
1950,2
1951,8
1954,9
1955,4
1956,6
1958,4
1959,3
1960,1
1961,4
1962,7
1963,4
1964,3
1965,4
1966,4
1967,4
1968,10
1969,2
1970,10
1971,18
1972,7
1973,18
1974,9
1975,25
1976,8
1977,12
1978,13
1979,25
1980,33
1981,20
1982,19
1983,21
1984,36
1985,45
1986,16
1987,51
1988,40
1989,41
1990,52
1991,60
1992,78
1993,112
1994,132
1995,119
1996,131
1997,142
1998,136
1999,166
2000,109
2001,120
2002,98
2003,63
2004,16
2005,4
2006,5
2007,3
2008,7
2009,23
2010,10
2011,16
2012,86
2013,71
2014,94
2015,226
2016,105
2017,57
2018,27
2019,4
